,Start_Lat,Start_Lng
2887541,40.73985,-73.81833
2757245,40.74434,-73.97124000000001
974412,40.923462,-73.823631
2150550,41.05513,-73.810417
915685,40.847923,-73.942825
3969177,40.98493,-73.83861999999999
3996888,42.910070000000005,-78.84351
3277126,43.093309000000005,-75.208271
1211387,40.80492,-73.131279
1830000,40.83593,-73.902924
4192623,41.21164,-73.87881
1192837,42.683223999999996,-73.72177099999999
1824012,43.198318,-77.967209
4180506,40.75065,-73.57329
3959049,43.06193,-76.56036
2403605,43.130772,-77.595337
447097,40.814053,-73.934822
1208730,42.734184,-73.78840600000001
195555,40.666740000000004,-73.801674
868057,42.874249,-78.787849
1265307,40.739986,-73.845398
2520697,43.031867999999996,-76.17536199999999
3996308,40.61025,-74.10509
2772248,40.74296,-73.77881
3166409,40.745783,-73.847933
3324830,41.10628,-73.80725699999999
1101898,43.077,-75.5755
2154389,40.715733,-73.826256
3946398,43.197928999999995,-76.361189
4230064,40.68799,-73.59273
1151128,41.691231,-73.897263
1068365,43.002716,-78.412003
3379860,40.675709999999995,-74.000912
3363607,40.838725,-73.93324799999999
215130,40.774440999999996,-73.671082
2265391,40.97691,-73.758575
1739149,40.689823,-73.563034
477400,41.101841,-73.992195
211643,40.737038,-73.68130500000001
420914,41.399848999999996,-73.591125
212008,41.394402,-73.59630600000001
766158,40.737671,-73.852051
1243478,40.684414000000004,-73.64340200000001
1573425,40.918312,-73.780357
419976,41.293171,-73.870506
1060489,41.375469,-73.800201
197544,40.754799,-73.962135
2659996,41.945591,-74.03008299999999
3998876,42.74288,-73.69744
1457360,40.823212,-73.881233
3398891,43.183840000000004,-77.608195
1104571,40.673840000000006,-73.801582
1422922,40.760452,-73.847717
615407,41.511303000000005,-74.071007
3628638,40.682759999999995,-73.6661
375919,40.781769,-73.649498
2343951,43.029053000000005,-77.96464499999999
3924028,40.84584,-73.9302
1788126,41.625403999999996,-73.774231
3127955,42.933932,-74.320699
990347,42.874264000000004,-78.85849
1395680,41.375668,-73.800034
197220,40.955383000000005,-73.860985
447074,40.876765999999996,-73.906624
2558375,41.139324,-74.169876
1267430,40.762203,-73.624245
219281,40.822083,-73.037323
3617923,40.93287,-73.00904
2265317,43.137778999999995,-77.578262
194739,40.707134,-73.42819200000001
2567590,40.759838,-73.906334
639562,40.725426,-73.53877299999999
581438,40.774349,-73.908203
3123111,43.14051,-77.54119200000001
1990988,42.814873,-78.793076
903712,40.683044,-73.805695
1678759,42.950584,-78.703362
1300098,40.6954,-73.816551
1117259,40.689617,-73.57560699999999
2520729,41.043246999999994,-73.83584599999999
1890166,40.748028000000005,-73.96817
4127892,40.781279999999995,-73.9441
2707246,43.058353000000004,-78.990356
2434833,40.682243,-73.663391
1186626,40.825619,-73.86331899999999
1406383,40.78154,-73.656349
213360,40.70174,-73.991264
2580786,43.052353000000004,-76.179626
908971,41.129833000000005,-73.814674
2998001,40.847934,-73.935634
213358,40.82309,-73.882736
1813479,40.682235999999996,-73.663002
1169500,40.935340999999994,-73.878723
1345921,40.72488,-73.837502
3465290,40.95236,-73.85226
3584474,40.6915,-73.72681
202634,42.790264,-74.015785
1739326,41.118748,-74.15974399999999
2425756,43.139416,-77.668304
3706518,40.739909999999995,-73.84558
1243484,40.744186,-73.77172900000001
2509491,43.061279,-76.56343100000001
828855,41.303165,-73.614586
615447,40.834332,-73.86479200000001
1507144,40.73737,-73.933083
2660182,41.109821000000004,-73.801743
503433,40.744213,-73.771652
